ID	DOCULECT	CONCEPT	FORM	TOKENS	MORPHEMES	COGIDS	NOTE	ISO639P3	MACROAREA	FAMILY	SCRIPT
26	Assamese	TWENTY SIX	ছাব্বিশ					asm	Eurasia	Indo-European	Bengali
27	Assamese	TWENTY SEVEN	সাতাইশ					asm	Eurasia	Indo-European	Bengali
28	Assamese	TWENTY EIGHT	আঠাইশ					asm	Eurasia	Indo-European	Bengali
29	Assamese	TWENTY NINE	ঊনত্ৰিশ					asm	Eurasia	Indo-European	Bengali
30	Assamese	THIRTY	ত্ৰিশ					asm	Eurasia	Indo-European	Bengali
31	Assamese	THIRTY ONE	একত্ৰিশ					asm	Eurasia	Indo-European	Bengali
32	Assamese	THIRTY TWO	বত্ৰিশ					asm	Eurasia	Indo-European	Bengali
33	Assamese	THIRTY THREE	তেত্ৰিশ					asm	Eurasia	Indo-European	Bengali
34	Assamese	THIRTY FOUR	চৌত্ৰিশ					asm	Eurasia	Indo-European	Bengali
35	Assamese	THIRTY FIVE	পঁয়ত্ৰিশ					asm	Eurasia	Indo-European	Bengali
36	Assamese	THIRTY SIX	ছয়ত্ৰিশ					asm	Eurasia	Indo-European	Bengali
37	Assamese	THIRTY SEVEN	সাতত্ৰিশ					asm	Eurasia	Indo-European	Bengali
38	Assamese	THIRTY EIGHT	আঠত্ৰিশ					asm	Eurasia	Indo-European	Bengali
39	Assamese	THIRTY NINE	ঊনচল্লিশ					asm	Eurasia	Indo-European	Bengali
40	Assamese	FORTY	চল্লিশ					asm	Eurasia	Indo-European	Bengali
0	Awadhi	ZERO	शून्य					awa	Eurasia	Indo-European	Devanagari
1	Awadhi	ONE	एक					awa	Eurasia	Indo-European	Devanagari
2	Awadhi	TWO	दो					awa	Eurasia	Indo-European	Devanagari
3	Awadhi	THREE	तीन					awa	Eurasia	Indo-European	Devanagari
4	Awadhi	FOUR	चार					awa	Eurasia	Indo-European	Devanagari
5	Awadhi	FIVE	पांच					awa	Eurasia	Indo-European	Devanagari
6	Awadhi	SIX	छह					awa	Eurasia	Indo-European	Devanagari
7	Awadhi	SEVEN	सात					awa	Eurasia	Indo-European	Devanagari
8	Awadhi	EIGHT	आठ					awa	Eurasia	Indo-European	Devanagari
9	Awadhi	NINE	नौ					awa	Eurasia	Indo-European	Devanagari
10	Awadhi	TEN	दस					awa	Eurasia	Indo-European	Devanagari
11	Awadhi	ELEVEN	ग्यारह					awa	Eurasia	Indo-European	Devanagari
12	Awadhi	TWELVE	बारह					awa	Eurasia	Indo-European	Devanagari
13	Awadhi	THIRTEEN	तेरह					awa	Eurasia	Indo-European	Devanagari
14	Awadhi	FOURTEEN	चौदह					awa	Eurasia	Indo-European	Devanagari
15	Awadhi	FIFTEEN	पंद्रह					awa	Eurasia	Indo-European	Devanagari
16	Awadhi	SIXTEEN	सोलह					awa	Eurasia	Indo-European	Devanagari
17	Awadhi	SEVENTEEN	सत्रह					awa	Eurasia	Indo-European	Devanagari
18	Awadhi	EIGHTEEN	अठारह					awa	Eurasia	Indo-European	Devanagari
19	Awadhi	NINETEEN	उन्नीस					awa	Eurasia	Indo-European	Devanagari
20	Awadhi	TWENTY	बीस					awa	Eurasia	Indo-European	Devanagari
21	Awadhi	TWENTY ONE	इक्कीस					awa	Eurasia	Indo-European	Devanagari
