ID	DOCULECT	CONCEPT	VALUE	FORM	TOKENS	MORPHEMES	ALIGNMENT	COGIDS	NOTE	SOURCE
91	hebr1245	forty seven	ארבעים ושבע	aʁbaimveʃeva	a ʁ b a + i m + v e + ʃ e v a	four suff_pl and seven	a ʁ b a + i m + v e + ʃ e v a	4 13 15 7		Etzion2020ModernHebrew
92	hebr1245	forty eight	ארבעים ושמונה	aʁbaimuʃmona	a ʁ b a + i m + u/v -/e + ʃ m o n -/e + a/-	four suff_pl and eight suff_masc_sg	a ʁ b a + i m + u/v -/e + ʃ m o n -/e + a/-	4 13 15 8 11		Etzion2020ModernHebrew
93	hebr1245	forty eight	ארבעים ושמונה	aʁbaimuʃmone	a ʁ b a + i m + u/v -/e + ʃ m o n e	four suff_pl and eight	a ʁ b a + i m + u/v -/e + ʃ m o n e	4 13 15 8		Etzion2020ModernHebrew
94	hebr1245	forty nine	ארבעים ותשעה	aʁbaimvetiʃa	a ʁ b a + i m + v e + t i/e ʃ -/a + a/-	four suff_pl and nine suff_masc_sg	a ʁ b a + i m + v e + t i/e ʃ -/a + a/-	4 13 15 9 11		Etzion2020ModernHebrew
95	hebr1245	forty nine	ארבעים ותשע	aʁbaimveteʃa	a ʁ b a + i m + v e + t e ʃ a	four suff_pl and nine	a ʁ b a + i m + v e + t e ʃ a	4 13 15 9		Etzion2020ModernHebrew
96	hebr1245	fifty	חמישים	χamiʃim	χ a m i/e ʃ + i m	five suff_pl	χ a m i/e ʃ + i m	5 13		Etzion2020ModernHebrew
97	hebr1245	fifty one	חמישים ואחד	χamiʃimveeχad	χ a m i/e ʃ + i m + v e + e χ a d	five suff_pl and one	χ a m i/e ʃ + i m + v e + e χ a d	5 13 15 1		Etzion2020ModernHebrew
98	hebr1245	fifty one	חמישים ואחת	χamiʃimveaχat	χ a m i/e ʃ + i m + v e + a/e χ a t/d	five suff_pl and one	χ a m i/e ʃ + i m + v e + a/e χ a t/d	5 13 15 1		Etzion2020ModernHebrew
99	hebr1245	fifty two	חמישים ושניים	χamiʃimuʃnajim	χ a m i/e ʃ + i m + u/v -/e + ʃ n a j i m	five suff_pl and two	χ a m i/e ʃ + i m + u/v -/e + ʃ n a j i m	5 13 15 2		Etzion2020ModernHebrew
100	hebr1245	fifty two	חמישים ושתיים	χamiʃimuʃtajim	χ a m i/e ʃ + i m + u/v -/e + ʃ t/n a j i m	five suff_pl and two	χ a m i/e ʃ + i m + u/v -/e + ʃ t/n a j i m	5 13 15 2		Etzion2020ModernHebrew
101	hebr1245	fifty three	חמישים ושלושה	χamiʃimuʃloʃa	χ a m i/e ʃ + i m + u/v -/e + ʃ -/a l o ʃ + a/-	five suff_pl and three suff_masc_sg	χ a m i/e ʃ + i m + u/v -/e + ʃ -/a l o ʃ + a/-	5 13 15 3 11		Etzion2020ModernHebrew
102	hebr1245	fifty three	חמישים ושלוש	χamiʃimveʃaloʃ	χ a m i/e ʃ + i m + v e + ʃ a l o ʃ	five suff_pl and three	χ a m i/e ʃ + i m + v e + ʃ a l o ʃ	5 13 15 3		Etzion2020ModernHebrew
103	hebr1245	fifty four	חמישים וארבעה	χamiʃimveaʁbaa	χ a m i/e ʃ + i m + v e + a ʁ b a + a/-	five suff_pl and four suff_masc_sg	χ a m i/e ʃ + i m + v e + a ʁ b a + a/-	5 13 15 4 11		Etzion2020ModernHebrew
104	hebr1245	fifty four	חמישים וארבע	χamiʃimveaʁba	χ a m i/e ʃ + i m + v e + a ʁ b a	five suff_pl and four	χ a m i/e ʃ + i m + v e + a ʁ b a	5 13 15 4		Etzion2020ModernHebrew
105	hebr1245	fifty five	חמישים וחמישה	χamiʃimveχamiʃa	χ a m i/e ʃ + i m + v e + χ a m i/e ʃ + a/-	five suff_pl and five suff_masc_sg	χ a m i/e ʃ + i m + v e + χ a m i/e ʃ + a/-	5 13 15 5 11		Etzion2020ModernHebrew
106	hebr1245	fifty five	חמישים וחמש	χamiʃimveχameʃ	χ a m i/e ʃ + i m + v e + χ a m e ʃ	five suff_pl and five	χ a m i/e ʃ + i m + v e + χ a m e ʃ	5 13 15 5		Etzion2020ModernHebrew
107	hebr1245	fifty six	חמישים ושישה	χamiʃimveʃiʃa	χ a m i/e ʃ + i m + v e + ʃ i/e ʃ + a/-	five suff_pl and six suff_masc_sg	χ a m i/e ʃ + i m + v e + ʃ i/e ʃ + a/-	5 13 15 6 11		Etzion2020ModernHebrew
108	hebr1245	fifty six	חמישים ושש	χamiʃimveʃeʃ	χ a m i/e ʃ + i m + v e + ʃ e ʃ	five suff_pl and six	χ a m i/e ʃ + i m + v e + ʃ e ʃ	5 13 15 6		Etzion2020ModernHebrew
109	hebr1245	fifty seven	חמישים ושבעה	χamiʃimveʃiva	χ a m i/e ʃ + i m + v e + ʃ i/e v -/a + a/-	five suff_pl and seven suff_masc_sg	χ a m i/e ʃ + i m + v e + ʃ i/e v -/a + a/-	5 13 15 7 11		Etzion2020ModernHebrew
110	hebr1245	fifty seven	חמישים ושבע	χamiʃimveʃeva	χ a m i/e ʃ + i m + v e + ʃ e v a	five suff_pl and seven	χ a m i/e ʃ + i m + v e + ʃ e v a	5 13 15 7		Etzion2020ModernHebrew
111	hebr1245	fifty eight	חמישים ושמונה	χamiʃimuʃmona	χ a m i/e ʃ + i m + u/v -/e + ʃ m o n -/e + a/-	five suff_pl and eight suff_masc_sg	χ a m i/e ʃ + i m + u/v -/e + ʃ m o n -/e + a/-	5 13 15 8 11		Etzion2020ModernHebrew
112	hebr1245	fifty eight	חמישים ושמונה	χamiʃimuʃmone	χ a m i/e ʃ + i m + u/v -/e + ʃ m o n e	five suff_pl and eight	χ a m i/e ʃ + i m + u/v -/e + ʃ m o n e	5 13 15 8		Etzion2020ModernHebrew
113	hebr1245	fifty nine	חמישים ותשעה	χamiʃimvetiʃa	χ a m i/e ʃ + i m + v e + t i/e ʃ -/a + a/-	five suff_pl and nine suff_masc_sg	χ a m i/e ʃ + i m + v e + t i/e ʃ -/a + a/-	5 13 15 9 11		Etzion2020ModernHebrew
