ID	DOCULECT	CONCEPT	FORM	TOKENS	MORPHEMES	COGIDS	SOURCE	NOTE	ALIGNMENT
90	Mandarin	ninety	jiǔ shí	tɕ j ou̯ ²¹³ + ʂ ʅ ³⁵	nine ten	9 10	Mandarin		tɕ j ou̯ ²¹³ + ʂ ʅ ³⁵
91	Mandarin	ninety one	jiǔ shí yī	tɕ j ou̯ ²¹³ + ʂ ʅ ³⁵ + i ⁵⁵	nine ten one	9 10 1	Mandarin		tɕ j ou̯ ²¹³ + ʂ ʅ ³⁵ + i ⁵⁵
92	Mandarin	ninety two	jiǔ shí èr	tɕ j ou̯ ²¹³ + ʂ ʅ ³⁵ + ɚ ⁵¹	nine ten two	9 10 2	Mandarin		tɕ j ou̯ ²¹³ + ʂ ʅ ³⁵ + ɚ ⁵¹
93	Mandarin	ninety three	jiǔ shí sān	tɕ j ou̯ ²¹³ + ʂ ʅ ³⁵ + s a n ⁵⁵	nine ten three	9 10 3	Mandarin		tɕ j ou̯ ²¹³ + ʂ ʅ ³⁵ + s a n ⁵⁵
94	Mandarin	ninety four	jiǔ shí sì	tɕ j ou̯ ²¹³ + ʂ ʅ ³⁵ + s ɿ ⁵¹	nine ten four	9 10 4	Mandarin		tɕ j ou̯ ²¹³ + ʂ ʅ ³⁵ + s ɿ ⁵¹
95	Mandarin	ninety five	jiǔ shí wǔ	tɕ j ou̯ ²¹³ + ʂ ʅ ³⁵ + u ²¹³	nine ten five	9 10 5	Mandarin		tɕ j ou̯ ²¹³ + ʂ ʅ ³⁵ + u ²¹³
96	Mandarin	ninety six	jiǔ shí liù	tɕ j ou̯ ²¹³ + ʂ ʅ ³⁵ + l j ou̯ ⁵¹	nine ten six	9 10 6	Mandarin		tɕ j ou̯ ²¹³ + ʂ ʅ ³⁵ + l j ou̯ ⁵¹
97	Mandarin	ninety seven	jiǔ shí qī	tɕ j ou̯ ²¹³ + ʂ ʅ ³⁵ + tɕʰ i ⁵⁵	nine ten seven	9 10 7	Mandarin		tɕ j ou̯ ²¹³ + ʂ ʅ ³⁵ + tɕʰ i ⁵⁵
98	Mandarin	ninety eight	jiǔ shí bā	tɕ j ou̯ ²¹³ + ʂ ʅ ³⁵ + p a ⁵⁵	nine ten eight	9 10 8	Mandarin		tɕ j ou̯ ²¹³ + ʂ ʅ ³⁵ + p a ⁵⁵
99	Mandarin	ninety nine	jiǔ shí jiǔ	tɕ j ou̯ ²¹³ + ʂ ʅ ³⁵ + tɕ j ou̯ ²¹³	nine ten nine	9 10 9	Mandarin		tɕ j ou̯ ²¹³ + ʂ ʅ ³⁵ + tɕ j ou̯ ²¹³
