ID	DOCULECT	CONCEPT	VALUE	FORM	LOCAL_ID	TOKENS	MORPHEMES	COGIDS	ALIGNMENT	NOTE	SOURCE
65	Latin	sixty five	sexaginta quinque	sɛksaːɡɪntaː_kʷiːŋkʷɛ		s ɛ k s + aː + g ɪ n t aː + kʷ iː ŋ kʷ ɛ	six a-epenthesis tens_suff five	12 14 5 3	s ɛ k s + aː + g ɪ n t aː + kʷ iː ŋ kʷ ɛ	None	Dellert2020;Rubenbauer1995
66	Latin	sixty six	sexaginta sex	sɛksaːɡɪntaː_sɛks		s ɛ k s + aː + g ɪ n t aː + s ɛ k s	six a-epenthesis tens_suff six	12 14 5 12	s ɛ k s + aː + g ɪ n t aː + s ɛ k s	None	Dellert2020;Rubenbauer1995
67	Latin	sixty seven	sexaginta septem	sɛksaːɡɪntaː_sɛptɛ̃		s ɛ k s + aː + g ɪ n t aː + s ɛ p t ɛ̃/ɛ -/m	six a-epenthesis tens_suff seven	12 14 5 13	s ɛ k s + aː + g ɪ n t aː + s ɛ p t ɛ̃/ɛ -/m	None	Dellert2020;Rubenbauer1995
68	Latin	sixty eight	duodeseptuaginta	dʊodeːsɛptʊaːɡɪntaː		d ʊ ɔ + d eː + s ɛ p t ʊ/ɛ -/m + aː + g ɪ n t aː	two from seven a-epenthesis tens_suff	4 10 13 14 5	d ʊ ɔ + d eː + s ɛ p t ʊ/ɛ -/m + aː + g ɪ n t aː	None	Dellert2020;Rubenbauer1995
69	Latin	sixty nine	undeseptuaginta	ʊndeːsɛptʊaːɡɪntaː		ʊ/uː n + d eː + s ɛ p t ʊ/ɛ -/m + aː + g ɪ n t aː	one from seven a-epenthesis tens_suff	2 10 13 14 5	ʊ/uː n + d eː + s ɛ p t ʊ/ɛ -/m + aː + g ɪ n t aː	None	Dellert2020;Rubenbauer1995
70	Latin	seventy	septuaginta	sɛptʊaːɡɪntaː		s ɛ p t ʊ/ɛ -/m + aː + g ɪ n t aː	seven a-epenthesis tens_suff	13 14 5	s ɛ p t ʊ/ɛ -/m + aː + g ɪ n t aː	None	Dellert2020
71	Latin	seventy one	septuaginta unus	sɛptʊaːɡɪntaː_uːnʊs		s ɛ p t ʊ/ɛ -/m + aː + g ɪ n t aː + uː n + ʊ s	seven a-epenthesis tens_suff one nom.m.sg_suff	13 14 5 2 11	s ɛ p t ʊ/ɛ -/m + aː + g ɪ n t aː + uː n + ʊ s	None	Dellert2020;Rubenbauer1995
72	Latin	seventy two	septuaginta duo	sɛptʊaːɡɪntaː_dʊɔ		s ɛ p t ʊ/ɛ -/m + aː + g ɪ n t aː + d ʊ ɔ	seven a-epenthesis tens_suff two	13 14 5 4	s ɛ p t ʊ/ɛ -/m + aː + g ɪ n t aː + d ʊ ɔ	None	Dellert2020;Rubenbauer1995
73	Latin	seventy three	septuaginta tres	sɛptʊaːɡɪntaː_treːs		s ɛ p t ʊ/ɛ -/m + aː + g ɪ n t aː + t r eː s	seven a-epenthesis tens_suff three	13 14 5 1	s ɛ p t ʊ/ɛ -/m + aː + g ɪ n t aː + t r eː s	None	Dellert2020;Rubenbauer1995
74	Latin	seventy four	septuaginta quattuor	sɛptʊaːɡɪntaː_kʷatːʊɔr		s ɛ p t ʊ/ɛ -/m + aː + g ɪ n t aː + kʷ a tː ʊ ɔ r	seven a-epenthesis tens_suff four	13 14 5 9	s ɛ p t ʊ/ɛ -/m + aː + g ɪ n t aː + kʷ a tː ʊ ɔ r	None	Dellert2020;Rubenbauer1995
75	Latin	seventy five	septuaginta quinque	sɛptʊaːɡɪntaː_kʷiːŋkʷɛ		s ɛ p t ʊ/ɛ -/m + aː + g ɪ n t aː + kʷ iː ŋ kʷ ɛ	seven a-epenthesis tens_suff five	13 14 5 3	s ɛ p t ʊ/ɛ -/m + aː + g ɪ n t aː + kʷ iː ŋ kʷ ɛ	None	Dellert2020;Rubenbauer1995
76	Latin	seventy six	septuaginta sex	sɛptʊaːɡɪntaː_sɛks		s ɛ p t ʊ/ɛ -/m + aː + g ɪ n t aː + s ɛ k s	seven a-epenthesis tens_suff six	13 14 5 12	s ɛ p t ʊ/ɛ -/m + aː + g ɪ n t aː + s ɛ k s	None	Dellert2020;Rubenbauer1995
77	Latin	seventy seven	septuaginta septem	sɛptʊaːɡɪntaː_sɛptɛ̃		s ɛ p t ʊ/ɛ -/m + aː + g ɪ n t aː + s ɛ p t ɛ̃/ɛ -/m	seven a-epenthesis tens_suff seven	13 14 5 13	s ɛ p t ʊ/ɛ -/m + aː + g ɪ n t aː + s ɛ p t ɛ̃/ɛ -/m	None	Dellert2020;Rubenbauer1995
78	Latin	seventy eight	duodeoctoginta	dʊodeːɔktoːɡɪntaː		d ʊ ɔ + d eː + ɔ k t oː + g ɪ n t aː	two from eight tens_suff	4 10 15 5	d ʊ ɔ + d eː + ɔ k t oː + g ɪ n t aː	None	Dellert2020;Rubenbauer1995
79	Latin	seventy nine	undeoctoginta	ʊndeːɔktoːɡɪntaː		ʊ/uː n + d eː + ɔ k t oː + g ɪ n t aː	one from eight tens_suff	2 10 15 5	ʊ/uː n + d eː + ɔ k t oː + g ɪ n t aː	None	Dellert2020;Rubenbauer1995
80	Latin	eighty	octoginta	ɔktoːɡɪntaː		ɔ k t oː + g ɪ n t aː	eight tens_suff	15 5	ɔ k t oː + g ɪ n t aː	None	Dellert2020
81	Latin	eighty one	octoginta unus	ɔktoːɡɪntaː_uːnʊs		ɔ k t oː + g ɪ n t aː + uː n + ʊ s	eight tens_suff one nom.m.sg_suff	15 5 2 11	ɔ k t oː + g ɪ n t aː + uː n + ʊ s	None	Dellert2020;Rubenbauer1995
82	Latin	eighty two	octoginta duo	ɔktoːɡɪntaː_dʊɔ		ɔ k t oː + g ɪ n t aː + d ʊ ɔ	eight tens_suff two	15 5 4	ɔ k t oː + g ɪ n t aː + d ʊ ɔ	None	Dellert2020;Rubenbauer1995
83	Latin	eighty three	octoginta tres	ɔktoːɡɪntaː_treːs		ɔ k t oː + g ɪ n t aː + t r eː s	eight tens_suff three	15 5 1	ɔ k t oː + g ɪ n t aː + t r eː s	None	Dellert2020;Rubenbauer1995
84	Latin	eighty four	octoginta quattuor	ɔktoːɡɪntaː_kʷatːʊɔr		ɔ k t oː + g ɪ n t aː + kʷ a tː ʊ ɔ r	eight tens_suff four	15 5 9	ɔ k t oː + g ɪ n t aː + kʷ a tː ʊ ɔ r	None	Dellert2020;Rubenbauer1995
85	Latin	eighty five	octoginta quinque	ɔktoːɡɪntaː_kʷiːŋkʷɛ		ɔ k t oː + g ɪ n t aː + kʷ iː ŋ kʷ ɛ	eight tens_suff five	15 5 3	ɔ k t oː + g ɪ n t aː + kʷ iː ŋ kʷ ɛ	None	Dellert2020;Rubenbauer1995
86	Latin	eighty six	octoginta sex	ɔktoːɡɪntaː_sɛks		ɔ k t oː + g ɪ n t aː + s ɛ k s	eight tens_suff six	15 5 12	ɔ k t oː + g ɪ n t aː + s ɛ k s	None	Dellert2020;Rubenbauer1995
87	Latin	eighty seven	octoginta septem	ɔktoːɡɪntaː_sɛptɛ̃		ɔ k t oː + g ɪ n t aː + s ɛ p t ɛ̃/ɛ -/m	eight tens_suff seven	15 5 13	ɔ k t oː + g ɪ n t aː + s ɛ p t ɛ̃/ɛ -/m	None	Dellert2020;Rubenbauer1995
88	Latin	eighty eight	duodenonaginta	dʊodeːnoːnaːɡɪntaː		d ʊ ɔ + d eː + n oː n + aː + g ɪ n t aː	two from nine2 a-epenthesis tens_suff	4 10 91 14 5	d ʊ ɔ + d eː + n oː n + aː + g ɪ n t aː	None	Dellert2020;Rubenbauer1995
89	Latin	eighty nine	undenonaginta	ʊndeːnoːnaːɡɪntaː		ʊ/uː n + d eː + n oː n + aː + g ɪ n t aː	one from nine2 a-epenthesis tens_suff	2 10 91 14 5	ʊ/uː n + d eː + n oː n + aː + g ɪ n t aː	None	Dellert2020;Rubenbauer1995
90	Latin	ninety	nonaginta	noːnaːɡɪntaː		n oː n + aː + g ɪ n t aː	nine2 a-epenthesis tens_suff	91 14 5	n oː n + aː + g ɪ n t aː	None	Dellert2020
91	Latin	ninety one	nonaginta unus	noːnaːɡɪntaː_uːnʊs		n oː n + aː + g ɪ n t aː + uː n + ʊ s	nine2 a-epenthesis tens_suff one nom.m.sg_suff	91 14 5 2 11	n oː n + aː + g ɪ n t aː + uː n + ʊ s	None	Dellert2020;Rubenbauer1995
92	Latin	ninety two	nonaginta duo	noːnaːɡɪntaː_dʊɔ		n oː n + aː + g ɪ n t aː + d ʊ ɔ	nine2 a-epenthesis tens_suff two	91 14 5 4	n oː n + aː + g ɪ n t aː + d ʊ ɔ	None	Dellert2020;Rubenbauer1995
93	Latin	ninety three	nonaginta tres	noːnaːɡɪntaː_treːs		n oː n + aː + g ɪ n t aː + t r eː s	nine2 a-epenthesis tens_suff three	91 14 5 1	n oː n + aː + g ɪ n t aː + t r eː s	None	Dellert2020;Rubenbauer1995
94	Latin	ninety four	nonaginta quattuor	noːnaːɡɪntaː_kʷatːʊɔr		n oː n + aː + g ɪ n t aː + kʷ a tː ʊ ɔ r	nine2 a-epenthesis tens_suff four	91 14 5 9	n oː n + aː + g ɪ n t aː + kʷ a tː ʊ ɔ r	None	Dellert2020;Rubenbauer1995
95	Latin	ninety five	nonaginta quinque	noːnaːɡɪntaː_kʷiːŋkʷɛ		n oː n + aː + g ɪ n t aː + kʷ iː ŋ kʷ ɛ	nine2 a-epenthesis tens_suff five	91 14 5 3	n oː n + aː + g ɪ n t aː + kʷ iː ŋ kʷ ɛ	None	Dellert2020;Rubenbauer1995
96	Latin	ninety six	nonaginta sex	noːnaːɡɪntaː_sɛks		n oː n + aː + g ɪ n t aː + s ɛ k s	nine2 a-epenthesis tens_suff six	91 14 5 12	n oː n + aː + g ɪ n t aː + s ɛ k s	None	Dellert2020;Rubenbauer1995
97	Latin	ninety seven	nonaginta septem	noːnaːɡɪntaː_sɛptɛ̃		n oː n + aː + g ɪ n t aː + s ɛ p t ɛ̃/ɛ -/m	nine2 a-epenthesis tens_suff seven	91 14 5 13	n oː n + aː + g ɪ n t aː + s ɛ p t ɛ̃/ɛ -/m	None	Dellert2020;Rubenbauer1995
98	Latin	ninety eight	duodecentum	dʊodeːkɛntʊ̃		d ʊ ɔ + d eː + k ɛ n t ʊ̃	two from hundred	4 10 16	d ʊ ɔ + d eː + k ɛ n t ʊ̃	None	Dellert2020;Rubenbauer1995
99	Latin	ninety nine	undecentum	ʊndeːkɛntʊ̃		ʊ/uː n + d eː + k ɛ n t ʊ̃	one from hundred	2 10 16	ʊ/uː n + d eː + k ɛ n t ʊ̃	None	Dellert2020;Rubenbauer1995
