ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile,Morphemes,Cognates,Surface_Form,Underlying_Form,Tokens
Assamese-Chan-2019-133-14-14-1,,Assamese,Chan-2019-133-14-14,sɔiddʰɔ,sɔiddʰɔ,s ɔ i + d dʰ ɔ,,Assamese,,,,,four teen2,4 91,s ɔ i + d dʰ ɔ,s o u + dʰ ɔ,s ɔ/o i/u + d/- dʰ ɔ
Assamese-Chan-2019-133-15-15-1,,Assamese,Chan-2019-133-15-15,pɔndʰɔrɔ,pɔndʰɔrɔ,p ɔ n + dʰ ɔ + r ɔ,,Assamese,,,,,five teen2 teen,5 91 90,p ɔ n + dʰ ɔ + r ɔ,p ɔ n + dʰ ɔ + r ɔ,p ɔ n + dʰ ɔ + r ɔ
Assamese-Chan-2019-133-16-16-1,,Assamese,Chan-2019-133-16-16,xɔllɔ,xɔllɔ,x ɔ + r ɔ,,Assamese,,,,,six teen,6 90,x ɔ + r ɔ,s a i + r ɔ,x/s ɔ/a -/i + r ɔ
Assamese-Chan-2019-133-17-17-1,,Assamese,Chan-2019-133-17-17,xɔtɔrɔ,xɔtɔrɔ,x ɔ t + ɔ r ɔ,,Assamese,,,,,seven teen,7 90,x ɔ t + ɔ r ɔ,x a t + r ɔ,x ɔ/a t + ɔ/- r ɔ
Assamese-Chan-2019-133-18-18-1,,Assamese,Chan-2019-133-18-18,ɔtʰɔrɔ,ɔtʰɔrɔ,ɔ tʰ + ɔ r ɔ,,Assamese,,,,,eight teen,8 90,ɔ tʰ + ɔ r ɔ,a tʰ + r ɔ,ɔ/a tʰ + ɔ/- r ɔ
Assamese-Chan-2019-133-19-19-1,,Assamese,Chan-2019-133-19-19,unnih,unnih,u n + o i h,alternate form for 20 in ois,Assamese,,,,,minus twenty1,99 20,u n + o i h,u n + o i h,u n + o i h
Assamese-Chan-2019-133-20-20-1,,Assamese,Chan-2019-133-20-20,bis,bis,b i s,,Assamese,,,,,twenty3,98,b i s,b i s,b i s
Assamese-Chan-2019-133-21-21-1,,Assamese,Chan-2019-133-21-21,ekois,ekois,ɛ k + o i s,,Assamese,,,,,one twenty2,1 11,ɛ k + o i s,ɛ k + i s,ɛ k + o/- i s
Assamese-Chan-2019-133-22-22-1,,Assamese,Chan-2019-133-22-22,bais,bais,b a + i s,analysed here as ois not bis due to lack of /b/,Assamese,,,,,two/ba twenty2,12 11,b a + i s,b a + i s,b a + i s
Assamese-Chan-2019-133-23-23-1,,Assamese,Chan-2019-133-23-23,teis,teis,t e + i s,,Assamese,,,,,three twenty2,3 11,t e + i s,t ɛ + i s,t e/ɛ + i s
Assamese-Chan-2019-133-24-24-1,,Assamese,Chan-2019-133-24-24,soubbis,soubbis,s o u + b b i s,bis as the tens place occurs after 23,Assamese,,,,,four twenty3,4 98,s o u + b b i s,s o u + b i s,s o u + b/- b i s
Assamese-Chan-2019-133-25-25-1,,Assamese,Chan-2019-133-25-25,pɔsis,pɔsis,p ɔ s + i s,,Assamese,,,,,five twenty2,5 11,p ɔ s + i s,p ɔ n + i s,p ɔ s/n + i s
Assamese-Chan-2019-133-26-26-1,,Assamese,Chan-2019-133-26-26,sabbis,sabbis,s a + b b i s,,Assamese,,,,,six twenty3,6 98,s a + b b i s,s a i + b i s,s a -/i + b/- b i s
Assamese-Chan-2019-133-27-27-1,,Assamese,Chan-2019-133-27-27,xatais,xatais,x a t + a i s,,Assamese,,,,,seven twenty2,7 11,x a t + a i s,x a t + i s,x a t + a/- i s
Assamese-Chan-2019-133-28-28-1,,Assamese,Chan-2019-133-28-28,atʰais,atʰais,a tʰ + a i s,,Assamese,,,,,eight twenty2,8 11,a tʰ + a i s,a tʰ + i s,a tʰ + a/- i s
Assamese-Chan-2019-133-29-29-1,,Assamese,Chan-2019-133-29-29,untɹis,untɹis,u n + t ɹ i s,,Assamese,,,,,minus thirty,99 30,u n + t ɹ i s,u n + t ɹ i s,u n + t ɹ i s
Assamese-Chan-2019-133-30-30-1,,Assamese,Chan-2019-133-30-30,tɹis,tɹis,t ɹ i s,,Assamese,,,,,thirty,30,t ɹ i s,t ɹ i s,t ɹ i s
Assamese-Chan-2019-133-31-31-1,,Assamese,Chan-2019-133-31-31,ɛktɹis,ɛktɹis,ɛ k + t ɹ i s,,Assamese,,,,,one thirty,1 30,ɛ k + t ɹ i s,ɛ k + t ɹ i s,ɛ k + t ɹ i s
Assamese-Chan-2019-133-32-32-1,,Assamese,Chan-2019-133-32-32,bɔtɹis,bɔtɹis,b ɔ + t ɹ i s,,Assamese,,,,,two/ba thirty,12 30,b ɔ + t ɹ i s,b a + t ɹ i s,b ɔ/a + t ɹ i s
Assamese-Chan-2019-133-33-33-1,,Assamese,Chan-2019-133-33-33,tɛtɹis,tɛtɹis,t ɛ + t ɹ i s,,Assamese,,,,,three thirty,3 30,t ɛ + t ɹ i s,t ɛ + t ɹ i s,t ɛ + t ɹ i s
Assamese-Chan-2019-133-34-34-1,,Assamese,Chan-2019-133-34-34,soutɹis,soutɹis,s o u + t ɹ i s,,Assamese,,,,,four thirty,4 30,s o u + t ɹ i s,s o u + t ɹ i s,s o u + t ɹ i s
Assamese-Chan-2019-133-35-35-1,,Assamese,Chan-2019-133-35-35,pɔitɹis,pɔitɹis,p ɔ i + t ɹ i s,,Assamese,,,,,five thirty,5 30,p ɔ i + t ɹ i s,p ɔ n + t ɹ i s,p ɔ i/n + t ɹ i s
Assamese-Chan-2019-133-36-36-1,,Assamese,Chan-2019-133-36-36,saintɹis,saintɹis,s a i n + t ɹ i s,,Assamese,,,,,six thirty,6 30,s a i n + t ɹ i s,s a i + t ɹ i s,s a i n/- + t ɹ i s
Assamese-Chan-2019-133-37-37-1,,Assamese,Chan-2019-133-37-37,xatɔtɹis,xatɔtɹis,x a t + ɔ t ɹ i s,,Assamese,,,,,seven thirty,7 30,x a t + ɔ t ɹ i s,x a t + t ɹ i s,x a t + ɔ/- t ɹ i s
Assamese-Chan-2019-133-38-38-1,,Assamese,Chan-2019-133-38-38,atʰɔtɹis,atʰɔtɹis,a tʰ + ɔ t ɹ i s,,Assamese,,,,,eight thirty,8 30,a tʰ + ɔ t ɹ i s,a tʰ + t ɹ i s,a tʰ + ɔ/- t ɹ i s
Assamese-Chan-2019-133-39-39-1,,Assamese,Chan-2019-133-39-39,unsɔllis,unsɔllis,u n + s ɔ l l i s,,Assamese,,,,,minus forty,99 40,u n + s ɔ l l i s,u n + s ɔ l l i s,u n + s ɔ l l i s
Assamese-Chan-2019-133-40-40-1,,Assamese,Chan-2019-133-40-40,sɔllis,sɔllis,s ɔ l l i s,,Assamese,,,,,forty,40,s ɔ l l i s,s ɔ l l i s,s ɔ l l i s
Aymara-Chan-2019-133-1-1-1,,Aymara,Chan-2019-133-1-1,maja,maja,m a j a,,Aymara1;Aymara2;Aymara3;Aymara4;Aymara5;Aymara6,,,,,one,2,m a j a,m a j a,m a j a
Aymara-Chan-2019-133-2-2-1,,Aymara,Chan-2019-133-2-2,paja,paja,p a j a,,Aymara1;Aymara2;Aymara3;Aymara4;Aymara5;Aymara6,,,,,two,3,p a j a,p a j a,p a j a
Aymara-Chan-2019-133-3-3-1,,Aymara,Chan-2019-133-3-3,kimsa,kimsa,k i m s a,,Aymara1;Aymara2;Aymara3;Aymara4;Aymara5;Aymara6,,,,,three,1,k i m s a,k i m s a,k i m s a
Aymara-Chan-2019-133-4-4-1,,Aymara,Chan-2019-133-4-4,pusi,pusi,p u s i,,Aymara1;Aymara2;Aymara3;Aymara4;Aymara5;Aymara6,,,,,four,8,p u s i,p u s i,p u s i
Aymara-Chan-2019-133-5-5-1,,Aymara,Chan-2019-133-5-5,pʰisqa,pʰisqa,pʰ i s q a,,Aymara1;Aymara2;Aymara3;Aymara4;Aymara5;Aymara6,,,,,five1,4,pʰ i s q a,pʰ i s q a,pʰ i s q a
Aymara-Chan-2019-133-6-6-1,,Aymara,Chan-2019-133-6-6,suχta,suχta,s u χ t a,,Aymara1;Aymara2;Aymara3;Aymara4;Aymara5;Aymara6,,,,,six,7,s u χ t a,s u χ t a,s u χ t a
Aymara-Chan-2019-133-7-7-1,,Aymara,Chan-2019-133-7-7,paqaʎqu,paqaʎqu,p a + q a ʎ q u,,Aymara1;Aymara2;Aymara3;Aymara4;Aymara5;Aymara6,,,,,two five2,3 6,p a + q a ʎ q u,p a j a + q a ʎ q u,p a -/j -/a + q a ʎ q u
Aymara-Chan-2019-133-8-8-1,,Aymara,Chan-2019-133-8-8,kimsaqaʎqu,kimsaqaʎqu,k i m s a + q a ʎ q u,,Aymara1;Aymara2;Aymara3;Aymara4;Aymara5;Aymara6,,,,,three five2,1 6,k i m s a + q a ʎ q u,k i m s a + q a ʎ q u,k i m s a + q a ʎ q u
Aymara-Chan-2019-133-9-9-1,,Aymara,Chan-2019-133-9-9,ʎaːtunka,ʎaːtunka,ʎ aː + t u n k a,,Aymara1;Aymara2;Aymara3;Aymara4;Aymara5;Aymara6,,,,,nearly ten,9 5,ʎ aː + t u n k a,ʎ aː + t u n k a,ʎ aː + t u n k a
Aymara-Chan-2019-133-10-10-1,,Aymara,Chan-2019-133-10-10,tunka,tunka,t u n k a,,Aymara1;Aymara2;Aymara3;Aymara4;Aymara5;Aymara6,,,,,ten,5,t u n k a,t u n k a,t u n k a
Aymara-Chan-2019-133-11-11-1,,Aymara,Chan-2019-133-11-11,tunka majani,tunka majani,t u n k a + m a j a + n i,,Aymara1;Aymara2;Aymara3;Aymara4;Aymara5;Aymara6,,,,,ten one ENUMERATOR,5 2 10,t u n k a + m a j a + n i,t u n k a + m a j a + n i,t u n k a + m a j a + n i
Aymara-Chan-2019-133-12-12-1,,Aymara,Chan-2019-133-12-12,tunka pajani,tunka pajani,t u n k a + p a j a + n i,,Aymara1;Aymara2;Aymara3;Aymara4;Aymara5;Aymara6,,,,,ten two ENUMERATOR,5 3 10,t u n k a + p a j a + n i,t u n k a + p a j a + n i,t u n k a + p a j a + n i
